mapped_pincode,mapped_city_db,mapped_state_db,mapped_city_tat,Latitude,Longitude
713144,Panagarh,WB,Panagarh,23.418404,87.55381
177046,Nadaun,HP,Nadaun,31.780007,76.343479
160015,Chandigarh,CH,Chandigarh,30.754321,76.772594
190006,Srinagar,JK,Srinagar,34.13878,74.833179
816103,Shikaripara,JH,Shikaripara,24.205485,87.601424
458002,Mandsaur,MP,Mandsaur,24.065211,75.069841
799008,Agartala,TR,Agartala,23.847524,91.340832
181122,Akhnoor,JK,Akhnoor,32.87765,74.782679
388260,Lunawada,GJ,Lunawada,23.186968,73.47553
403802,Goa,GA,Goa,15.39782,73.812694
742165,Nowda,WB,Nowda,24.059152,88.337016
144211,Dasuya,PB,Dasuya,31.952893,75.612273
124508,Bahadurgarh,HR,Bahadurgarh,28.695591,76.910274
458556,Mandsaur,MP,Mandsaur,24.254211,75.168139
250002,Meerut,UP,Meerut,28.969423,77.689032
591115,Kittur,KA,Kittur,15.599108,74.788095
695044,Thiruvananthapuram,KL,Thiruvananthapuram,8.548352,76.949621
425431,Shahada,MH,Shahada,21.537775,74.471372
686017,Kottayam,KL,Kottayam,9.617641,76.510061
144046,Hoshiarpur,PB,Hoshiarpur,31.453843,75.76991
700100,Kolkata,WB,Kolkata,22.530526,88.396801
632311,Arani,TN,Arani,12.749202,79.151689
600089,Chennai,TN,Chennai,13.031779,80.176532
281205,Khair,UP,Khair,27.774561,77.723043
231304,Chunnar,UP,Chunnar,25.126826,82.880644
783391,Manikpur,AS,Manikpur,26.494424,90.801592
523328,Yerragonda Palem,AP,Yerragonda Palem,16.038541,79.30515
412209,Shirur,MH,Shirur,18.754562,74.242727
582114,Yelburga,KA,Yelburga,15.732663,75.964478
606807,Chetpet,TN,Chetpet,12.48328,79.413473
391165,Chhota Udaipur,GJ,Chhota Udaipur,22.306898,74.015312
144001,Jalandhar,PB,Jalandhar,31.32328,75.581807
175102,Kullu,HP,Kullu,31.95977,77.108256
274003,Deoria,UP,Deoria,26.503119,83.779732
625516,Cumbum,TN,Cumbum,9.738322,77.280798
600058,Chennai,TN,Chennai,13.100698,80.159615
743401,Basirhat,WB,Basirhat,22.731696,88.787896
843142,Muzaffarpur,BR,Muzaffarpur,26.05866,85.456142
741252,Kalyani,WB,Kalyani,22.947158,88.530538
670104,Thalassery,KL,Thalassery,11.752533,75.498541
454448,Manawar,MP,Manawar,22.2376,75.087521
423203,Malegaon,MH,Malegaon,20.55067,74.52375
522212,Guntur,AP,Guntur,16.226561,80.515095
303908,Chaksu,RJ,Chaksu,26.645048,76.086383
680587,Pazhayannur,KL,Pazhayannur,10.688402,76.411485
277219,Bariya,UP,Bariya,25.902887,84.277617
327007,Banswara,RJ,Banswara,23.543778,74.447674
624303,Dindigul,TN,Dindigul,10.315723,77.927826
411004,Pune,MH,Pune,18.509887,73.830316
591125,Bailhongal,KA,Bailhongal,15.770774,74.767892
852109,Simrahi Bazar,BR,Simrahi Bazar,26.268277,86.822632
627423,Ambasamudram,TN,Ambasamudram,8.798888,77.392742
524341,Atmakur-AP,AP,Atmakur-AP,14.519368,79.567072
400102,Mumbai,MH,Mumbai,19.148441,72.835912
832304,Ghatshila,JH,Ghatshila,22.650699,86.413679
759118,Pallahara,OR,Pallahara,21.264965,85.202286
631212,Arakkonam,TN,Arakkonam,13.23029,79.650353
788126,Pailapool,AS,Pailapool,24.789022,93.002493
560099,Bangalore,KA,Bangalore,12.823463,77.668902
250105,Meerut,UP,Meerut,28.978078,77.710768
781350,Hajo,AS,Hajo,26.366438,91.546259
600022,Chennai,TN,Chennai,13.01048,80.224801
160018,Chandigarh,CH,Chandigarh,30.733351,76.790488
625706,Madurai,TN,Madurai,9.821464,77.985296
400045,Mumbai,MH,Mumbai,19.077836,72.829127
465661,Rajgarh-MP,MP,Rajgarh-MP,24.001356,76.731815
